user_id,hotel_id,actual,predicted,error,pred_knn,pred_cbf,strategy,abs_error
FB1032DECE1162CB3556D05F278AAFFD,114575,2.0,4.0908,2.090799083106557,4.3333,3.727,hybrid(α=0.6)_knn_fallback,2.0908
FB1032DECE1162CB3556D05F278AAFFD,573340,4.0,4.0782,0.07824073527526743,4.3153,3.7226,hybrid(α=0.6)_knn_fallback,0.0782
BA524A238B1171206691A6CC3F28F266,108408,3.0,4.0959,1.0958907784327518,4.125,4.0522,hybrid(α=0.6)_knn_fallback,1.0959
BA524A238B1171206691A6CC3F28F266,93430,3.0,3.9113,0.9113154236841505,3.8172,4.0525,hybrid(α=0.6)_knn_fallback,0.9113
BA524A238B1171206691A6CC3F28F266,87620,4.0,3.9897,-0.01031820111556403,3.9474,4.0532,hybrid(α=0.6)_knn_fallback,0.0103
EC6CB11E9DC8761710DDA3CF48DD995F,2322597,5.0,4.577,-0.42302659082006144,4.9286,4.0496,hybrid(α=0.6)_knn_fallback,0.423
C81AB7D49D98FA410EA191E15F427BEC,111501,1.0,3.8787,2.878670975173203,3.7636,4.0512,hybrid(α=0.6)_knn_fallback,2.8787
C81AB7D49D98FA410EA191E15F427BEC,80668,5.0,4.2209,-0.7791210174646555,4.3333,4.0522,hybrid(α=0.6)_knn_fallback,0.7791
2404E3630B78BB9E8D6583076FBA0742,100613,4.0,3.8189,-0.18113004181172698,3.6667,4.0472,hybrid(α=0.6)_knn_fallback,0.1811
2404E3630B78BB9E8D6583076FBA0742,1485961,4.0,4.3585,0.3585109442755172,4.5625,4.0525,hybrid(α=0.6)_knn_fallback,0.3585
2404E3630B78BB9E8D6583076FBA0742,574449,5.0,4.3533,-0.6467044799433195,4.5536,4.0529,hybrid(α=0.6)_knn_fallback,0.6467
212787FEB4E7A223D38277943BCA6E55,281071,3.0,4.0897,1.0897051265564617,4.34,3.7143,hybrid(α=0.6)_knn_fallback,1.0897
212787FEB4E7A223D38277943BCA6E55,235513,3.0,4.1568,1.1567642665281905,4.4524,3.7133,hybrid(α=0.6)_knn_fallback,1.1568
1BBD0A79D3F59310BF1E27B1A1AAA2C2,99535,4.0,3.9765,-0.02350288106459919,4.1519,3.7134,hybrid(α=0.6)_knn_fallback,0.0235
1BBD0A79D3F59310BF1E27B1A1AAA2C2,841981,4.0,4.1572,0.1572218131559957,4.4535,3.7128,hybrid(α=0.6)_knn_fallback,0.1572
1BBD0A79D3F59310BF1E27B1A1AAA2C2,87645,4.0,3.8607,-0.13929974984541715,3.9583,3.7143,hybrid(α=0.6)_knn_fallback,0.1393
9B48FBAB4BDE94E70C9B930C97DFC441,324321,5.0,3.8198,-1.1802043484243905,3.6667,4.0495,hybrid(α=0.6)_knn_fallback,1.1802
5CAA923D06C9892A80894E6E2428D1D1,224214,4.0,4.2516,0.25158121057567495,4.4375,3.9727,hybrid(α=0.6)_knn_fallback,0.2516
624B5F30F1C6E14FCF9DD8D5A62BF47C,99110,1.0,3.6208,2.6207674107879138,3.3333,4.0519,hybrid(α=0.6)_knn_fallback,2.6208
624B5F30F1C6E14FCF9DD8D5A62BF47C,98641,5.0,3.9057,-1.0942727611169083,3.8077,4.0528,hybrid(α=0.6)_knn_fallback,1.0943
8DED47615F28E67652FD490F3765BF1C,96688,4.0,3.7079,-0.29213205475899695,3.4776,4.0533,hybrid(α=0.6)_knn_fallback,0.2921
8DED47615F28E67652FD490F3765BF1C,76083,4.0,4.1348,0.134799454683586,4.1899,4.0522,hybrid(α=0.6)_knn_fallback,0.1348
7788F6DEA6D525F6A79EC6208AE8C793,93352,3.0,4.1874,1.1874339968727021,4.285,4.0411,hybrid(α=0.6)_knn_fallback,1.1874
7788F6DEA6D525F6A79EC6208AE8C793,84064,2.0,4.1073,2.1072554892310986,4.1519,4.0403,hybrid(α=0.6)_knn_fallback,2.1073
84D7C91102BB269620EA16DA6A38C043,87659,4.0,4.157,0.15695408635197605,4.2447,4.0254,hybrid(α=0.6)_knn_fallback,0.157
84D7C91102BB269620EA16DA6A38C043,100570,2.0,3.9503,1.9503148550261211,3.9041,4.0196,hybrid(α=0.6)_knn_fallback,1.9503
952BF5F8C2350322D41B985A2C2B9588,80930,4.0,3.5835,-0.416463799294994,3.2727,4.0497,hybrid(α=0.6)_knn_fallback,0.4165
952BF5F8C2350322D41B985A2C2B9588,1723585,5.0,4.2572,-0.7427824141162045,4.3939,4.0521,hybrid(α=0.6)_knn_fallback,0.7428
D11B516F665E93CBCE741C3D2A200D12,82443,3.0,3.3771,0.37705124736307294,2.9286,4.0498,hybrid(α=0.6)_knn_fallback,0.3771
